Link, Anchor Text
"https://gz.blockchair.com/ethereum/blocks/blockchair_ethereum_blocks_20151116.tsv.gz", blockchair_ethereum_blocks_20151116.tsv.gz
"https://gz.blockchair.com/ethereum/blocks/blockchair_ethereum_blocks_20151117.tsv.gz", blockchair_ethereum_blocks_20151117.tsv.gz
"https://gz.blockchair.com/ethereum/blocks/blockchair_ethereum_blocks_20151118.tsv.gz", blockchair_ethereum_blocks_20151118.tsv.gz
"https://gz.blockchair.com/ethereum/blocks/blockchair_ethereum_blocks_20151119.tsv.gz", blockchair_ethereum_blocks_20151119.tsv.gz
"https://gz.blockchair.com/ethereum/blocks/blockchair_ethereum_blocks_20151120.tsv.gz", blockchair_ethereum_blocks_20151120.tsv.gz
"https://gz.blockchair.com/ethereum/blocks/blockchair_ethereum_blocks_20151121.tsv.gz", blockchair_ethereum_blocks_20151121.tsv.gz
"https://gz.blockchair.com/ethereum/blocks/blockchair_ethereum_blocks_20151122.tsv.gz", blockchair_ethereum_blocks_20151122.tsv.gz
"https://gz.blockchair.com/ethereum/blocks/blockchair_ethereum_blocks_20151123.tsv.gz", blockchair_ethereum_blocks_20151123.tsv.gz
"https://gz.blockchair.com/ethereum/blocks/blockchair_ethereum_blocks_20151124.tsv.gz", blockchair_ethereum_blocks_20151124.tsv.gz
"https://gz.blockchair.com/ethereum/blocks/blockchair_ethereum_blocks_20151125.tsv.gz", blockchair_ethereum_blocks_20151125.tsv.gz
"https://gz.blockchair.com/ethereum/blocks/blockchair_ethereum_blocks_20151126.tsv.gz", blockchair_ethereum_blocks_20151126.tsv.gz
"https://gz.blockchair.com/ethereum/blocks/blockchair_ethereum_blocks_20151127.tsv.gz", blockchair_ethereum_blocks_20151127.tsv.gz
"https://gz.blockchair.com/ethereum/blocks/blockchair_ethereum_blocks_20151128.tsv.gz", blockchair_ethereum_blocks_20151128.tsv.gz
"https://gz.blockchair.com/ethereum/blocks/blockchair_ethereum_blocks_20151129.tsv.gz", blockchair_ethereum_blocks_20151129.tsv.gz
"https://gz.blockchair.com/ethereum/blocks/blockchair_ethereum_blocks_20151130.tsv.gz", blockchair_ethereum_blocks_20151130.tsv.gz
"https://gz.blockchair.com/ethereum/blocks/blockchair_ethereum_blocks_20151201.tsv.gz", blockchair_ethereum_blocks_20151201.tsv.gz
"https://gz.blockchair.com/ethereum/blocks/blockchair_ethereum_blocks_20151202.tsv.gz", blockchair_ethereum_blocks_20151202.tsv.gz
"https://gz.blockchair.com/ethereum/blocks/blockchair_ethereum_blocks_20151203.tsv.gz", blockchair_ethereum_blocks_20151203.tsv.gz
"https://gz.blockchair.com/ethereum/blocks/blockchair_ethereum_blocks_20151204.tsv.gz", blockchair_ethereum_blocks_20151204.tsv.gz
"https://gz.blockchair.com/ethereum/blocks/blockchair_ethereum_blocks_20151205.tsv.gz", blockchair_ethereum_blocks_20151205.tsv.gz
"https://gz.blockchair.com/ethereum/blocks/blockchair_ethereum_blocks_20151206.tsv.gz", blockchair_ethereum_blocks_20151206.tsv.gz
"https://gz.blockchair.com/ethereum/blocks/blockchair_ethereum_blocks_20151207.tsv.gz", blockchair_ethereum_blocks_20151207.tsv.gz
"https://gz.blockchair.com/ethereum/blocks/blockchair_ethereum_blocks_20151208.tsv.gz", blockchair_ethereum_blocks_20151208.tsv.gz
"https://gz.blockchair.com/ethereum/blocks/blockchair_ethereum_blocks_20151209.tsv.gz", blockchair_ethereum_blocks_20151209.tsv.gz
"https://gz.blockchair.com/ethereum/blocks/blockchair_ethereum_blocks_20151210.tsv.gz", blockchair_ethereum_blocks_20151210.tsv.gz
"https://gz.blockchair.com/ethereum/blocks/blockchair_ethereum_blocks_20151211.tsv.gz", blockchair_ethereum_blocks_20151211.tsv.gz
"https://gz.blockchair.com/ethereum/blocks/blockchair_ethereum_blocks_20151212.tsv.gz", blockchair_ethereum_blocks_20151212.tsv.gz
"https://gz.blockchair.com/ethereum/blocks/blockchair_ethereum_blocks_20151213.tsv.gz", blockchair_ethereum_blocks_20151213.tsv.gz
"https://gz.blockchair.com/ethereum/blocks/blockchair_ethereum_blocks_20151214.tsv.gz", blockchair_ethereum_blocks_20151214.tsv.gz
"https://gz.blockchair.com/ethereum/blocks/blockchair_ethereum_blocks_20151215.tsv.gz", blockchair_ethereum_blocks_20151215.tsv.gz
"https://gz.blockchair.com/ethereum/blocks/blockchair_ethereum_blocks_20151216.tsv.gz", blockchair_ethereum_blocks_20151216.tsv.gz
"https://gz.blockchair.com/ethereum/blocks/blockchair_ethereum_blocks_20151217.tsv.gz", blockchair_ethereum_blocks_20151217.tsv.gz
"https://gz.blockchair.com/ethereum/blocks/blockchair_ethereum_blocks_20151218.tsv.gz", blockchair_ethereum_blocks_20151218.tsv.gz
"https://gz.blockchair.com/ethereum/blocks/blockchair_ethereum_blocks_20151219.tsv.gz", blockchair_ethereum_blocks_20151219.tsv.gz
"https://gz.blockchair.com/ethereum/blocks/blockchair_ethereum_blocks_20151220.tsv.gz", blockchair_ethereum_blocks_20151220.tsv.gz
"https://gz.blockchair.com/ethereum/blocks/blockchair_ethereum_blocks_20151221.tsv.gz", blockchair_ethereum_blocks_20151221.tsv.gz
"https://gz.blockchair.com/ethereum/blocks/blockchair_ethereum_blocks_20151222.tsv.gz", blockchair_ethereum_blocks_20151222.tsv.gz
"https://gz.blockchair.com/ethereum/blocks/blockchair_ethereum_blocks_20151223.tsv.gz", blockchair_ethereum_blocks_20151223.tsv.gz
"https://gz.blockchair.com/ethereum/blocks/blockchair_ethereum_blocks_20151224.tsv.gz", blockchair_ethereum_blocks_20151224.tsv.gz
"https://gz.blockchair.com/ethereum/blocks/blockchair_ethereum_blocks_20151225.tsv.gz", blockchair_ethereum_blocks_20151225.tsv.gz
"https://gz.blockchair.com/ethereum/blocks/blockchair_ethereum_blocks_20151226.tsv.gz", blockchair_ethereum_blocks_20151226.tsv.gz
"https://gz.blockchair.com/ethereum/blocks/blockchair_ethereum_blocks_20151227.tsv.gz", blockchair_ethereum_blocks_20151227.tsv.gz
"https://gz.blockchair.com/ethereum/blocks/blockchair_ethereum_blocks_20151228.tsv.gz", blockchair_ethereum_blocks_20151228.tsv.gz
"https://gz.blockchair.com/ethereum/blocks/blockchair_ethereum_blocks_20151229.tsv.gz", blockchair_ethereum_blocks_20151229.tsv.gz
"https://gz.blockchair.com/ethereum/blocks/blockchair_ethereum_blocks_20151230.tsv.gz", blockchair_ethereum_blocks_20151230.tsv.gz
"https://gz.blockchair.com/ethereum/blocks/blockchair_ethereum_blocks_20151231.tsv.gz", blockchair_ethereum_blocks_20151231.tsv.gz
"https://gz.blockchair.com/ethereum/blocks/blockchair_ethereum_blocks_20160101.tsv.gz", blockchair_ethereum_blocks_20160101.tsv.gz
"https://gz.blockchair.com/ethereum/blocks/blockchair_ethereum_blocks_20160102.tsv.gz", blockchair_ethereum_blocks_20160102.tsv.gz
"https://gz.blockchair.com/ethereum/blocks/blockchair_ethereum_blocks_20160103.tsv.gz", blockchair_ethereum_blocks_20160103.tsv.gz
"https://gz.blockchair.com/ethereum/blocks/blockchair_ethereum_blocks_20160104.tsv.gz", blockchair_ethereum_blocks_20160104.tsv.gz
"https://gz.blockchair.com/ethereum/blocks/blockchair_ethereum_blocks_20160105.tsv.gz", blockchair_ethereum_blocks_20160105.tsv.gz
"https://gz.blockchair.com/ethereum/blocks/blockchair_ethereum_blocks_20160106.tsv.gz", blockchair_ethereum_blocks_20160106.tsv.gz
"https://gz.blockchair.com/ethereum/blocks/blockchair_ethereum_blocks_20160107.tsv.gz", blockchair_ethereum_blocks_20160107.tsv.gz
"https://gz.blockchair.com/ethereum/blocks/blockchair_ethereum_blocks_20160108.tsv.gz", blockchair_ethereum_blocks_20160108.tsv.gz
"https://gz.blockchair.com/ethereum/blocks/blockchair_ethereum_blocks_20160109.tsv.gz", blockchair_ethereum_blocks_20160109.tsv.gz
"https://gz.blockchair.com/ethereum/blocks/blockchair_ethereum_blocks_20160110.tsv.gz", blockchair_ethereum_blocks_20160110.tsv.gz
"https://gz.blockchair.com/ethereum/blocks/blockchair_ethereum_blocks_20160111.tsv.gz", blockchair_ethereum_blocks_20160111.tsv.gz
"https://gz.blockchair.com/ethereum/blocks/blockchair_ethereum_blocks_20160112.tsv.gz", blockchair_ethereum_blocks_20160112.tsv.gz
"https://gz.blockchair.com/ethereum/blocks/blockchair_ethereum_blocks_20160113.tsv.gz", blockchair_ethereum_blocks_20160113.tsv.gz
"https://gz.blockchair.com/ethereum/blocks/blockchair_ethereum_blocks_20160114.tsv.gz", blockchair_ethereum_blocks_20160114.tsv.gz
"https://gz.blockchair.com/ethereum/blocks/blockchair_ethereum_blocks_20160115.tsv.gz", blockchair_ethereum_blocks_20160115.tsv.gz
"https://gz.blockchair.com/ethereum/blocks/blockchair_ethereum_blocks_20160116.tsv.gz", blockchair_ethereum_blocks_20160116.tsv.gz
"https://gz.blockchair.com/ethereum/blocks/blockchair_ethereum_blocks_20160117.tsv.gz", blockchair_ethereum_blocks_20160117.tsv.gz
"https://gz.blockchair.com/ethereum/blocks/blockchair_ethereum_blocks_20160118.tsv.gz", blockchair_ethereum_blocks_20160118.tsv.gz
"https://gz.blockchair.com/ethereum/blocks/blockchair_ethereum_blocks_20160119.tsv.gz", blockchair_ethereum_blocks_20160119.tsv.gz
"https://gz.blockchair.com/ethereum/blocks/blockchair_ethereum_blocks_20160120.tsv.gz", blockchair_ethereum_blocks_20160120.tsv.gz
"https://gz.blockchair.com/ethereum/blocks/blockchair_ethereum_blocks_20160121.tsv.gz", blockchair_ethereum_blocks_20160121.tsv.gz
"https://gz.blockchair.com/ethereum/blocks/blockchair_ethereum_blocks_20160122.tsv.gz", blockchair_ethereum_blocks_20160122.tsv.gz
"https://gz.blockchair.com/ethereum/blocks/blockchair_ethereum_blocks_20160123.tsv.gz", blockchair_ethereum_blocks_20160123.tsv.gz
"https://gz.blockchair.com/ethereum/blocks/blockchair_ethereum_blocks_20160124.tsv.gz", blockchair_ethereum_blocks_20160124.tsv.gz
"https://gz.blockchair.com/ethereum/blocks/blockchair_ethereum_blocks_20160125.tsv.gz", blockchair_ethereum_blocks_20160125.tsv.gz
"https://gz.blockchair.com/ethereum/blocks/blockchair_ethereum_blocks_20160126.tsv.gz", blockchair_ethereum_blocks_20160126.tsv.gz
"https://gz.blockchair.com/ethereum/blocks/blockchair_ethereum_blocks_20160127.tsv.gz", blockchair_ethereum_blocks_20160127.tsv.gz
"https://gz.blockchair.com/ethereum/blocks/blockchair_ethereum_blocks_20160128.tsv.gz", blockchair_ethereum_blocks_20160128.tsv.gz
"https://gz.blockchair.com/ethereum/blocks/blockchair_ethereum_blocks_20160129.tsv.gz", blockchair_ethereum_blocks_20160129.tsv.gz
"https://gz.blockchair.com/ethereum/blocks/blockchair_ethereum_blocks_20160130.tsv.gz", blockchair_ethereum_blocks_20160130.tsv.gz
